UNIQID	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
r92	39.0	4.0	2.4	3.25	0.0	75.0
r146	42.0	2.2	1.4	3.5	1.0	80.0
r210	39.0	2.6	1.4	2.75	0.0	80.0
r88	41.0	3.6	1.0	1.25	0.0	80.0
r326	46.0	2.8	1.0	2.5	4.0	79.0
r284	45.0	2.8	1.0	2.75	2.0	80.0
r168	45.0	3.6	1.0	3.25	2.0	82.0
r198	42.0	3.4	1.0	2.75	5.0	80.0
r79	43.0	3.2	1.4	2.5	5.0	80.0
r360	43.0	2.8	1.6	2.5	10.0	70.0
r57	41.0	3.0	1.2	2.5	4.0	71.0
r213	49.0	3.6	2.0	4.0	0.0	70.0
r7	46.0	3.2	1.6	3.0	0.0	75.0
r243	38.0	4.0	1.2	3.0	0.0	100.0
r98	34.0	4.0	2.0	3.25	0.0	96.0
r175	40.0	3.0	1.8	2.75	10.0	90.0
r236	32.0	3.2	1.6	2.5	7.0	90.0
r470	31.0	4.0	1.0	2.5	5.0	91.0
r116	33.0	3.6	1.8	3.25	0.0	90.0
r149	37.0	4.0	1.4	3.5	5.0	88.0
r5	38.0	2.8	1.8	3.0	2.0	85.0
r346	54.0	3.0	1.0	2.75	0.0	98.0
r322	47.0	3.0	1.6	3.25	0.0	100.0
r55	52.0	3.2	1.0	3.25	10.0	88.0
r50	48.0	3.4	1.4	3.25	0.0	90.0
r186	52.0	3.0	1.0	2.5	0.0	86.0
r0	52.0	3.6	1.0	2.75	0.0	90.0
