性別_男	年紀_壯年	年紀_中年	年紀_老年	學歷_大學	學歷_研究所以上	學歷_高中職	取消關注他們的粉專或帳號	拒絕觀看他們的發文或影音	在網路上留言或發文指責	其他	因歧視特定國家、種族或性別	因有不同的政治意識型態或價值觀	因不表態支持重要的社會議題	因做出不道德、不正當或不合法行為	因其他	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	37.0	4.0	1.4	3.5	5.0	88.0
1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	56.0	2.8	1.2	3.0	27.0	3.0
0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	44.0	2.6	1.0	3.0	90.0	50.0
1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	46.0	2.0	1.0	2.5	49.0	38.0
1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	55.0	4.0	1.0	3.25	48.0	42.0
1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	38.0	3.4	1.4	3.0	30.0	1.0
1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	31.0	3.8	1.0	2.5	0.0	0.0
0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	25.0	3.0	2.0	3.25	0.0	50.0
1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	34.0	4.0	2.2	2.5	58.0	39.0
0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	42.0	2.8	1.4	2.5	40.0	40.0
0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	36.0	3.8	1.4	2.75	0.0	10.0
1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	37.0	3.2	2.2	2.5	7.0	38.0
