Cocktail Name,Ingredients
Cup of Bacchus,"dry red bordeaux, lemon juice, luxardo maraschino liqueur, dashes orange bitters, red grape"
Shock the Monkey,"light rum, banana liqueur, velvet falernum, lime juice, simple syrup"
Cranberry Whisper (or Crimson Whisper),"gin, elderflower liqueur"
The Black Adder,"angostura bitters, simple syrup"
The Final Testament,"applejack, yellow chartreuse, maraschino liqueur, lemon juice"
Currents & Coils #5,"banana rum, plantation 5 star, cold brew coffee, coco lopez, pineapple juice, lime, malted milk, banana chips, freshly-ground nutmeg"
Rosa Rica,"mezcal, cointreau, lime cordial, grapefruit juice, grapefruit syrup"
Cinnamon Ridge,"coconut cream, lime juice, cinnamon stick"
Regal Beagle,"rye, amaro montenegro, lemon juice, grenadine, orange bitters"
Long Flight,"amontillado sherry, pimms no.1"
Hummingbird,"light rum, lime juice, honey syrup, garnishes, mango fruit leather"
A.V. Conrad,"amaro montenegro, maple syrup, lime juice, angostura bitters, coupe"
Beach Side,"rhum agricole, gin, simple syrup, mint leaves, lime"
Caffeinated Surfer,"denizen merchant's reserve, pierre ferrand dry curaçao, pineapple juice, coffee syrup, lime juice, lemon juice, falernum, vanilla extract"
Flor Amargo,"campari, passion fruit purée, lime juice, orgeat syrup"
Vera,"cynar, aperol, grapefruit peel"
sixth of June,aquavit
Macaw,"tequila, mezcal, blue curacao, orgeat syrup, lime juice, coconut water, coconut cream"
Ocha no Jikan (お茶の時間),"suntory toki, honey syrup, bittermens hopped grapefruit bitters, peychaud's bitters, sencha tea, grapefruit twist"
Thawing Dawn,"st. germain, lime juice, aperol"
The Soda Jerk,"bourbon, licor 43, luxardo maraschino, angostura bitters"
Brandy Old-Fashioned Sweet,"maraschino cherry juice, water, orange juice, bitters, brandy, splash of lemon-lime soda, orange slice, maraschino cherry"
Pesce Spada (Swordfish),"ransom old tom gin, pineapple juice, lemon juice, simple syrup"
Walk Without Rhythm,angostura bitters
Reggae Ruby,"jamaica rum, campari, lime juice, simple syrup, cherry"
The Gateway,"campari, vodka, crushed ice, sparkling ice pink grapefruit soda"
Acid-Adjusted Pineapple Daiquiri,"demerara syrup, pineapple juice, don q gold, plantation oftd, pineapple wedge"
Ferrari Sour,"rye whiskey, campari, fernet branca, grapefruit juice, lemon juice, maple syrup, egg white, grapefruit, peychaud’s bitters"
Hemingway Daiquiri,"rum, grapefruit, lime juice, maraschino liqueur, lime"
Royal Bermuda Yacht Club,"rum, falernum, orange liqueur, lime juice, lime wheel"
